Classe,Caractéristique Couleur,Caractéristique LPB,Caractéristique Fréquentielle
0,40.0,"[0.02244216 0.05076247 0.04428335 0.13076547 0.21302209 0.18994141
 0.08578726 0.06567383 0.11399489 0.08332707 0.04920373 0.06655649
 0.0609976  0.11508413 0.16488882 0.15542368 0.07301683 0.08210637
 0.11200421 0.12071815 0.0546875  0.07421875 0.05889423 0.11117788
 0.16075721 0.17157452 0.06850962 0.08022837 0.08353365 0.13641827]","[ 8.72365986e-04  6.84902117e-09  5.89142794e-12  3.74670720e-11
  6.57607878e-23  7.46518418e-16 -5.52755461e-22]"
0,40.0,"[0.01290189 0.03513747 0.02815129 0.09607873 0.17948092 0.18094576
 0.063439   0.04779522 0.3038424  0.05222731 0.03568209 0.04777644
 0.03853666 0.08135517 0.14761118 0.16977163 0.05821815 0.06047175
 0.27524038 0.08533654 0.03936298 0.04957933 0.02854567 0.07512019
 0.16826923 0.21364183 0.0531851  0.06490385 0.22115385 0.08623798]","[ 6.43799844e-04  1.91512323e-09  3.42714269e-12  1.12215579e-13
 -6.68023953e-26  4.71937940e-18 -1.94983484e-26]"
0,34.0,"[0.01669546 0.04201097 0.02691181 0.08124249 0.13219276 0.16625977
 0.06182392 0.05262169 0.35252028 0.06772085 0.03628305 0.0483774
 0.03515625 0.07459435 0.11485877 0.14483173 0.06122296 0.06219952
 0.3221905  0.10028546 0.03155048 0.04176683 0.03605769 0.08954327
 0.13221154 0.21123798 0.06370192 0.06490385 0.25210337 0.07692308]","[ 6.38980087e-04  3.62344273e-09  1.65598367e-12  2.48100868e-14
  3.45141448e-27 -1.24908024e-18 -3.65749594e-27]"
0,35.0,"[0.01639498 0.0315317  0.0230619  0.06024639 0.07874474 0.11080228
 0.03848032 0.04229267 0.55031175 0.04813326 0.03305288 0.04116587
 0.02178486 0.04469651 0.06302584 0.12101863 0.03530649 0.05288462
 0.51547476 0.07158954 0.03695913 0.04717548 0.01802885 0.046875
 0.06460337 0.16075721 0.03725962 0.06009615 0.45763221 0.07061298]","[ 6.77064355e-04  1.78284150e-09  2.56620518e-12  7.91927295e-13
  8.19377379e-25  1.84615991e-17 -7.76622589e-25]"
0,25.0,"[0.01081731 0.03710938 0.0218412  0.10422927 0.25246019 0.25161508
 0.07639724 0.05089393 0.13352614 0.06111028 0.02644231 0.04972957
 0.0390625  0.10854868 0.24534255 0.2179988  0.06835938 0.05761719
 0.10246394 0.0844351  0.03305288 0.05769231 0.03846154 0.11298077
 0.25961538 0.19771635 0.07211538 0.05769231 0.07061298 0.1000601 ]","[ 7.55620467e-04  3.37613398e-08  2.07093126e-11  1.54984332e-11
  1.78484166e-22  3.30823816e-17 -2.12694406e-22]"
0,45.0,"[0.01162485 0.02700571 0.02681791 0.09258564 0.17029748 0.1733774
 0.05378606 0.03973858 0.36048302 0.04428335 0.02486478 0.03155048
 0.03335337 0.09089543 0.1625601  0.18772536 0.05213341 0.04882812
 0.31182392 0.05626502 0.0297476  0.03064904 0.03335337 0.09825721
 0.17007212 0.21844952 0.04507212 0.0546875  0.2578125  0.06189904]","[ 7.13800198e-04  2.99494820e-09  1.78237282e-12  1.07494417e-12
  1.03166796e-24  8.30815998e-18 -1.07217183e-24]"
0,27.0,"[0.0064979  0.02747521 0.01737154 0.09690505 0.20932242 0.2485915
 0.07303561 0.04633038 0.22678786 0.04768254 0.01840445 0.0383113
 0.03485577 0.11388221 0.20740685 0.2280649  0.06948618 0.05220853
 0.1778095  0.05957031 0.01742788 0.03485577 0.0483774  0.13762019
 0.22085337 0.23858173 0.06189904 0.05799279 0.13070913 0.05168269]","[ 7.44978394e-04  8.94253793e-10  5.90965615e-12  4.24718286e-12
  2.06237503e-23 -1.25738613e-16  5.23620456e-24]"
0,8.0,"[0.02957858 0.04946665 0.03470553 0.0685284  0.09592849 0.11001352
 0.05207707 0.05911959 0.42581881 0.07476337 0.04664964 0.04717548
 0.03320312 0.06227464 0.08007812 0.12304688 0.04259315 0.06114784
 0.40226863 0.1015625  0.04927885 0.04266827 0.03155048 0.07301683
 0.08413462 0.18088942 0.03816106 0.06550481 0.33383413 0.10096154]","[ 6.55583146e-04  3.41055164e-09  1.96496907e-12  2.53033665e-13
 -2.91853028e-26  1.22209715e-17 -1.76017545e-25]"
0,43.0,"[0.02375676 0.04360727 0.0383113  0.08882963 0.11215445 0.12475586
 0.05207707 0.05476262 0.39408053 0.06766451 0.04266827 0.04987981
 0.04221755 0.07301683 0.08030349 0.13378906 0.04747596 0.0695613
 0.36410757 0.09698017 0.05949519 0.05378606 0.02824519 0.06129808
 0.0688101  0.171875   0.04987981 0.08503606 0.31189904 0.10967548]","[ 6.56759513e-04  4.07988394e-10  6.51549223e-12  5.54708820e-13
 -8.95512963e-25 -9.10086878e-18 -5.56913781e-25]"
0,4.0,"[0.02383188 0.03425481 0.02497746 0.04587966 0.05669697 0.08539288
 0.03126878 0.04212365 0.59801307 0.05756085 0.03282752 0.03553185
 0.02201022 0.03778546 0.05333534 0.10914964 0.02869591 0.04304387
 0.56603065 0.07158954 0.03185096 0.03876202 0.02163462 0.04927885
 0.0531851  0.16286058 0.02734375 0.05588942 0.49008413 0.06911058]","[ 6.79470001e-04  9.31716011e-11  3.27408314e-12  1.32617345e-12
 -2.68328434e-24  1.07500522e-17  6.60621516e-25]"
